%CPU	%MEM	CMD
11.4	1.9	/snap/code/159/usr/share/code/code
4.6	1.7	/opt/google/chrome/chrome
3.1	0.7	/snap/code/159/usr/share/code/code
3.0	1.9	/snap/discord/190/usr/share/discord/Discord
2.6	2.6	/usr/bin/gnome-shell
2.3	1.4	/opt/google/chrome/chrome
2.2	1.2	/usr/lib/xorg/Xorg
2.0	2.4	/opt/google/chrome/chrome
1.4	1.1	/snap/code/159/usr/share/code/code
1.3	0.4	/usr/bin/gedit
0.7	1.4	/opt/google/chrome/chrome
0.7	1.0	/snap/code/159/usr/share/code/code
0.4	0.1	/usr/lib/snapd/snapd
0.4	0.7	/opt/google/chrome/chrome
0.4	0.4	/usr/libexec/gnome-terminal-server
0.4	1.7	/opt/google/chrome/chrome
0.4	0.6	/snap/code/159/usr/share/code/code
0.3	0.9	/opt/google/chrome/chrome
0.3	0.6	/snap/code/159/usr/share/code/code
0.2	0.0	/usr/bin/ibus-daemon
0.2	1.6	/opt/google/chrome/chrome
0.2	0.0	/usr/bin/zsh
0.2	0.6	/opt/google/chrome/chrome
0.1	0.0	/lib/systemd/systemd-oomd
0.1	0.0	/usr/bin/touchegg
0.1	0.1	/usr/bin/pulseaudio
0.1	0.0	zsh
0.1	0.0	[kworker/1:1-i915-unordered]
0.0	0.0	/sbin/init
0.0	0.0	[kthreadd]
0.0	0.0	[rcu_gp]
0.0	0.0	[rcu_par_gp]
0.0	0.0	[slub_flushwq]
0.0	0.0	[netns]
0.0	0.0	[mm_percpu_wq]
0.0	0.0	[rcu_tasks_kthread]
0.0	0.0	[rcu_tasks_rude_kthread]
0.0	0.0	[rcu_tasks_trace_kthread]
0.0	0.0	[ksoftirqd/0]
0.0	0.0	[rcu_preempt]
0.0	0.0	[migration/0]
0.0	0.0	[idle_inject/0]
0.0	0.0	[cpuhp/0]
0.0	0.0	[cpuhp/1]
0.0	0.0	[idle_inject/1]
0.0	0.0	[migration/1]
0.0	0.0	[ksoftirqd/1]
0.0	0.0	[kworker/1:0H-events_highpri]
0.0	0.0	[cpuhp/2]
0.0	0.0	[idle_inject/2]
0.0	0.0	[migration/2]
0.0	0.0	[ksoftirqd/2]
0.0	0.0	[kworker/2:0H-events_highpri]
0.0	0.0	[cpuhp/3]
0.0	0.0	[idle_inject/3]
0.0	0.0	[migration/3]
0.0	0.0	[ksoftirqd/3]
0.0	0.0	[kworker/3:0H-events_highpri]
0.0	0.0	[cpuhp/4]
0.0	0.0	[idle_inject/4]
0.0	0.0	[migration/4]
0.0	0.0	[ksoftirqd/4]
0.0	0.0	[kworker/4:0H-events_highpri]
0.0	0.0	[cpuhp/5]
0.0	0.0	[idle_inject/5]
0.0	0.0	[migration/5]
0.0	0.0	[ksoftirqd/5]
0.0	0.0	[kworker/5:0H-events_highpri]
0.0	0.0	[cpuhp/6]
0.0	0.0	[idle_inject/6]
0.0	0.0	[migration/6]
0.0	0.0	[ksoftirqd/6]
0.0	0.0	[kworker/6:0H-events_highpri]
0.0	0.0	[cpuhp/7]
0.0	0.0	[idle_inject/7]
0.0	0.0	[migration/7]
0.0	0.0	[ksoftirqd/7]
0.0	0.0	[kworker/7:0H-events_highpri]
0.0	0.0	[kdevtmpfs]
0.0	0.0	[inet_frag_wq]
0.0	0.0	[kauditd]
0.0	0.0	[khungtaskd]
0.0	0.0	[oom_reaper]
0.0	0.0	[writeback]
0.0	0.0	[kcompactd0]
0.0	0.0	[ksmd]
0.0	0.0	[khugepaged]
0.0	0.0	[kintegrityd]
0.0	0.0	[kblockd]
0.0	0.0	[blkcg_punt_bio]
0.0	0.0	[tpm_dev_wq]
0.0	0.0	[ata_sff]
0.0	0.0	[md]
0.0	0.0	[md_bitmap]
0.0	0.0	[edac-poller]
0.0	0.0	[devfreq_wq]
0.0	0.0	[watchdogd]
0.0	0.0	[kworker/0:1H-events_highpri]
0.0	0.0	[kswapd0]
0.0	0.0	[ecryptfs-kthread]
0.0	0.0	[kthrotld]
0.0	0.0	[irq/125-pciehp]
0.0	0.0	[irq/126-pciehp]
0.0	0.0	[acpi_thermal_pm]
0.0	0.0	[hwrng]
0.0	0.0	[mld]
0.0	0.0	[kworker/6:1H-events_highpri]
0.0	0.0	[ipv6_addrconf]
0.0	0.0	[kstrp]
0.0	0.0	[charger_manager]
0.0	0.0	[kworker/3:1H-events_highpri]
0.0	0.0	[kworker/2:1H-events_highpri]
